idVotacao_origem,voto_dep1,voto_dep2,orientacao_part1,orientacao_part2
2192459-668,Sim,Sim,Sim,Sim
2192459-696,Sim,Sim,Sim,Sim
2192459-734,Sim,Sim,Sim,Sim
2192459-810,Sim,Sim,Sim,Sim
2192459-640,Sim,Sim,Nao,Sim
2192459-692,Sim,Sim,Nao,Sim
2192459-763,Sim,Sim,Sim,Obstrucao
2192459-619,Sim,Nao,Nao,Obstrucao
2192459-601,Sim,Sim,Sim,Nao
2192459-636,Sim,Sim,Sim,Nao
2192459-665,Sim,Sim,Sim,Nao
2192459-727,Sim,Sim,Sim,Nao
2192459-730,Sim,Sim,Sim,Nao
2192459-786,Sim,Sim,Sim,Nao
2192459-807,Sim,Sim,Sim,Nao
2192459-819,Sim,Sim,Sim,Nao
2192459-588,Nao,Nao,Nao,Sim
2192459-612,Nao,Nao,Nao,Sim
2192459-625,Nao,Nao,Nao,Sim
2192459-646,Nao,Nao,Nao,Sim
2192459-662,Nao,Nao,Nao,Sim
2192459-772,Nao,Nao,Nao,Obstrucao
2192459-775,Nao,Nao,Nao,Obstrucao
2192459-781,Nao,Nao,Nao,Obstrucao
2192459-794,Nao,Nao,Nao,Obstrucao
2192459-616,Nao,Sim,Sim,Nao
2192459-724,Nao,Sim,Sim,Nao
2192459-804,Nao,Sim,Sim,Nao
2192459-813,Nao,Sim,Sim,Nao
2192459-653,Nao,Nao,Sim,Nao
2192459-657,Nao,Nao,Sim,Nao
2192459-795,Nao,Nao,Sim,Nao
2192459-798,Nao,Nao,Sim,Nao
2192459-816,Nao,Nao,Sim,Nao
2192459-704,Nao,Nao,Nao,Nao
2192459-649,Abstencao,Nao,Sim,Nao
